"Bundesland";"Kinos";"Kinosäle";"Sitzplätze";"Sitzplätze pro Tausend der Bevölkerung";"Kinobesuche, in Tausend";"Kinobesuche pro Tausend der Bevölkerung"
"Burgenland";"5";"20";"2513";"8,4";"165,1";"555"
"Kärnten";"8";"34";"6351";"11,2";"279,9";"496"
"Niederösterreich";"26";"98";"13995";"8,2";"777,3";"457"
"Oberösterreich";"25";"94";"13342";"8,9";"938,4";"623"
"Salzburg";"9";"29";"4965";"8,8";"345,4";"614"
"Steiermark";"19";"80";"12641";"10,1";"706,2";"564"
"Tirol";"11";"46";"7373";"9,6";"451,8";"591"
"Vorarlberg";"8";"26";"4347";"10,8";"255,2";"635"
"Wien";"27";"138";"24734";"12,8";"1375,6";"712"
"Österreich";"138";"565";"90261";"10,1";"5294,9";"590"